Adversary,Level,Skills,Talents,Abilities,Equipment,Index
Arda I TIE Pilot,Minion,Gunnery; Piloting [Space],None,None,Blaster Pistol; Flight Suit,OaA:43
Arda I Viper Probe Droid,Rival,Computers 3; Gunnery 2; Perception 3; Vigilance 3,None,Droid; Repulsorlift Locomotion; Self-destruct; Sensors,Built-in hyperspace transponder; Built-in laser canon,OaA:27
Arend Shen,Nemesis,Cool 4; Charm 4; Coercion 2; Deception 3; Education 5; Underworld 4; Negotiation 5; Perception 2; Ranged [Light] 2; Skullduggery 2; Streetwise 4,Adversary 3; Nobody's Fool 2; Resolve 1; Smooth Talker 2,None,credit stick with 5000 credits; Disruptor Pistol; Heavy Clothing,JoY:90
Aris Shen,Nemesis,Charm 3; Cool 2; Deception 3; Underworld 4; Negotiation 3; Perception 2; Ranged [Light] 3; Streetwise 4; Vigilance 1,Adversary 1; Quick Draw; Natural Charmer; Smooth Talker 2,Shadowport Savvy,"Heavy Clothing; Holdout Blaster; Merr-Sonn IR-5 ""Intimidator"" Blaster Pistol",JoY:89
Armed Security Guard,Minion,Coercion; Melee; Perception; Ranged [Light],None,None,Comlink (handheld); Light Blaster Pistol; Padded Armor; Truncheon,F-CRB:430
Arms Dealer,Rival,Negotiation 1; Ranged [Heavy] 2; Ranged [Light] 2; Vigilance 1,None,None,Heavy Blaster Pistol; Vibroknife,E-CRB:391; SaVAD:16
Arrogant Heir,Rival,Charm 1; Coercion 2; Cool 1; Core Worlds 2; Education 2,None,None,Duelist Blaster Pistol,E-CRB:408
Ashur Sungazer,Rival,Computers 2; Cool 1; Discipline 2; Knowledge 3; Perception 1; Vigilance 1,None,None,Breath Masks and Respirators; Datapad; Stylus,F-CRB:425
Assassin Droid,Nemesis,Coercion 3; Computers 4; Gunnery 5; Mechanics 3; Melee 3; Ranged [Heavy] 5; Ranged [Light] 5; Piloting [Planetary] 3; Piloting [Space] 3; Vigilance 2,Adversary 2; Barrage 3; Point Blank 3,Droid,Light Repeating Blaster,A-CRB:427; E-CRB:410; SaVAD:18
Astromech Droid,Rival,Astrogation 3; Computers 3; Cool 2; Mechanics 2; Piloting [Space] 2,None,Droid,Tool Kit,A-CRB:428; E-CRB:410; CotGAD:7
Autoturret,Rival,Perception 2; Ranged [Light] 2; Vigilance 4,Adversary 2,Droid; Hoverer,Built-in repeating blaster,OaA:71
B1 Series Battle Droid (Modified),Minion,Gunnery; Melee; Ranged [Heavy]; Ranged [Light],None,Droid,Integrated Comlink; On-board Processor; Worn-out blaster rifle,BtR:65
Baktoid B1 Battle Droids,Minion,Ranged [Heavy],None,Droid,Blaster Rifle,GMK:9*
Bandin Dobah,Nemesis,Coercion 4; Underworld 2; Melee 2; Negotiation 2; Piloting [Space] 3; Ranged [Light] 2; Skullduggery 2; Streetwise 2; Vigilance 2,Adversary 2; Quick Draw,None,Heavy Blaster Pistol; Heavy Clothing; Vibro-ax,E-CRB:434*
Barabel Enforcer,Rival,Ranged [Heavy] 1; Melee 2; Perception 1; Survival 2; Vigilance 1,None,None,Blaster Carbine; Combat Knife,E-CRB:392
Barabel Enforcer,Rival,Melee 2; Perception 1; Ranged [Light] 1; Survival 2; Vigilance 1,None,None,Heavy Blaster Pistol; Serrated Combat Knife,SoF:126
Bardottan Palace Guard,Minion,Cool; Melee,None,None,Bardottan Electrolance,NoP:47
Bargos's Gamorrean,Rival,Brawl 2; Melee 2,Knockdown,None,Crude Gamorrean vibro-ax,GMK:6*
Baron Administrator Lando Calrissian,Nemesis,Charm 3; Cool 2; Deception 4; Discipline 2; Core Worlds 1; Underworld 2; Leadership 2; Negotiation 3; Perception 2; Ranged [Light] 2; Skullduggery 2; Stealth 2; Streetwise 2; Vigilance 1,Adversary 2; Kill with Kindness 1; Nobody's Fool 2; Plausible Deniability 2,Luck be a Lady,Dashing Cloak; Fine Clothing; Holdout Blaster; Wrist-mounted comlink,JoY:11
Baron Kaldo,Nemesis,Charm 3; Coercion 4; Cool 3; Deception 3; Discipline 3; Underworld 3; Negotiation 3; Perception 4; Streetwise 4; Vigilance 2,Adversary 2; Plausible Deniability 2; Natural Charmer; Natural Negotiator,None,Comlink (handheld); Heavy Blaster Pistol; superior concealed armored clothing,SoF:47
Barrows' Thug,Minion,Coordination; Melee; Perception,None,None,Makeshift Weapons,OaA:85
BD10-Series Assay Support Droid,Rival,Charm 2; Outer Rim 3; Negotiation 2,None,Droid; Outland Etiquette and Protocol,None,DoH:54
Besalisk Adventurer,Rival,Brawl 2; Ranged [Light] 2; Survival 2; Vigilance 2,None,Four-armed,Blaster Pistol; Brass Knuckles; Utility Belt,F-CRB:418
Bespin Defense Force Pilot,Minion,Cool; Gunnery; Piloting [Planetary],None,None,Flight Suit,JoY:95
Bhurra,Rival,Brawl 1; Coercion 1; Perception 1; Ranged [Light] 1; Vigilance 1,Adversary 1,Blubber,Blaster Pistol; Brass Knuckles; Comlink (handheld); Long Coat,JoY:24*
Big Game Hunter,Nemesis,Cool 3; Xenology 2; Melee 3; Perception 3; Piloting [Planetary] 2; Ranged [Heavy] 4; Stealth 3; Survival 4,Adversary 2; Hunter's Quarry; Natural Hunter,Animal Combatant; Wilderness Valor,Armored Clothing; Extra Reload; Oversized Combat Knife; Scoped long-range blaster rifle; Utility Belt; Wilderness Survival Kit,F-CRB:401
Bim Gizzo,Rival,Charm 2; Deception 3; Perception 3; Ranged [Light] 2; Skullduggery 3; Stealth 2; Streetwise 2,Adversary 1; Convincing Demeanor 2,None,Cybernetic Light Blaster,SoF:134
Bith Musician,Minion,Charm; Cool; Perception,None,Keen Senses,Musical Instrument (Common),F-CRB:402
BL0-Series Non-lethal Combat Droid,Rival,Brawl 3; Cool 2; Coordination 1; Ranged [Light] 1; Resilience 2,None,Droid,armored plating; Stun Grenade; Two Built-in Stun Whips,DoH:54
Black Claw Saboteur,Minion,Brawl; Mechanics; Ranged [Light]; Stealth,None,Create Bacta,Frag Grenade,SoR:55
Black Marketeer,Rival,Underworld 2; Negotiation 2; Ranged [Light] 1; Skullduggery 2; Streetwise 2; Vigilance 2,Black Market Contacts 2,None,Blaster Pistol,A-CRB:423; SaVAD:4
Black Sun Vigo,Nemesis,Coercion 4; Cool 3; Melee 3; Negotiation 3; Perception 4; Ranged [Heavy] 3; Ranged [Light] 3; Streetwise 4; Survival 4; Vigilance 2,Adversary 3; Crippling Blow; Nobody's Fool 2,Leader,Force Pike; Heavy Blaster Pistol,E-CRB:406; SaVAD:19
Blaise Zirkonn,Nemesis,Athletics 3; Brawl 2; Charm 2; Coercion 3; Cool 3; Discipline 4; Core Worlds 2; Education 2; Underworld 2; Leadership 3; Lightsaber 4; Lore 2; Outer Rim 2; Perception 3; Ranged [Light] 3; Streetwise 3; Vigilance 3,Adversary 3; Draw Closer; Drive Back; Force Rating 3; Lightsaber Mastery; Parry 5; Reflect 5,Dark Side Force User; Force Power Influence; Intimidating Presence,Comlink (handheld); Concealed Armored Robes; Customized Lightsaber; Datapad; Heavy Blaster Pistol,NoP:138
Blaster Drone,Rival,Ranged [Light] 3,None,Hoverer,Training Blaster,NoP:133
Bleshk Callor,Nemesis,Athletics 2; Brawl 2; Cool 3; Deception 4; Warfare 2; Underworld 4; Perception 3; Ranged [Light] 2; Skullduggery 4; Stealth 3; Streetwise 3; Survival 3; Vigilance 3,Adversary 2; Convincing Demeanor 2; Durable 2; Knockdown; Jump Up; Soft Spot,None,Armored Clothing; Blaster Pistol; Comlink (handheld); Datapad,SoR:142
Blue-Rated Constable,Rival,Coercion 2; Cool 2; Discipline 2; Perception 2; Piloting [Space] 3; Ranged [Light] 3; Vigilance 3,Adversary 1; Skilled Jockey 1,Constabulary Honor 3,Armored Clothing; Blaster Pistol,SoR:43
Boddah Venik Rin,Rival,Charm 2; Coercion 3; Cool 2; Deception 3; Discipline 2; Underworld 3; Perception 2; Negotiation 2; Streetwise 3; Vigilance 2,Kill with Kindness 1; Plausible Deniability 1,None,Fine Robes; Holdout Blaster; Narcotic Inhaler,LoNH:134
Boffen Nibs,Rival,Charm 1; Deception 1; Education 2; Perception 2; Skullduggery 3; Stealth 2; Streetwise 1,None,None,Cred stick with 2;000 credits; Stolen gem (Eye of Corell); Utility Belt,SoF:135
Bonda,Rival,Computers 1; Melee 2; Perception 1; Ranged [Light] 1,None,None,Heavy Work Clothing; Holdout Blaster; Knife,GMK:22
BoSS Agent,Rival,Astrogation 1; Computers 1,Nobody's Fool 1,None,Comlink (handheld); Light Blaster Pistol; Secure datapad with uplink to BoSS database,A-CRB:416
Bothan Spy,Rival,Computers 1; Deception 2; Streetwise 1; Skullduggery 2,None,None,Encoded Datapad; Light Blaster Pistol; Secure Comlink,A-CRB:412; IaRAD:16
Bridge Guard,Minion,Melee; Ranged [Light],None,None,Heavy Battle Armor; Heavy Blaster Pistol; Mask; Vibrosword,MPQ:90
Brionelle Army Cadet,Minion,Athletics; Coordination; Discipline; Education; Piloting [Planetary]; Ranged [Light]; Vigilance; Warfare,None,None,Academy uniform; Comlink (handheld); Datapad,SoR:18
Brom,Rival,Brawl 3; Cool 2; Coercion 3; Ranged [Light] 2; Resilience 2,Adversary 1,None,Brass Knuckles; Heavy Blaster Pistol; Padded Armor; Stimpack,SoF:134
Burr Naxis,Rival,Discipline 1; Melee 2; Perception 3; Ranged [Light] 3; Vigilance 2,None,None,Armored Guard Uniform; Heavy Blaster Pistol; Vibroknife,JoY:78
Butterbug Remote,Minion,Mechanics; Melee,None,Droid; Silhouette 0,Micro-tools and drills,SM:53
BX Commando Droid,Minion,Cool; Melee; Ranged [Heavy]; Ranged [Light]; Stealth,None,Droid,Blaster Carbine; Frag Grenade; Stun Grenade; Vibrosword,CotG:69
Campus Security Guard,Minion,Brawl; Coercion; Melee; Perception,None,None,Comlink (handheld); Padded Armor; Truncheon,F-CRB:428
Captain Balrekk,Nemesis,Charm 2; Coercion 3; Deception 2; Melee 2; Ranged [Heavy] 3; Streetwise 2; Vigilance 2,None,Balrekk's Butchery,Extra Reload; Frag Grenade; Heavy Blaster Rifle; High-temp Environment Armor; Utility Belt; Vibroknife,OaA:38
Captain Bialar Selis,Nemesis,Coercion 2; Discipline 2; Leadership 3; Melee 2; Piloting [Planetary] 2; Ranged [Light] 4; Vigilance 3,Adversary 2; Good Cop 2,Captain of the Wing Guard,armored Wing Guard uniform; Comlink (handheld); magnacuffs; Relby-K23 blaster pistol; Stun Club,JoY:88
Captain Gideon,Nemesis,Cool 2; Deception 3; Gunnery 2; Underworld 2; Melee 3; Negotiation 2; Piloting [Space] 3; Ranged [Light] 3; Stealth 2; Streetwise 2; Vigilance 2,Adversary 2; Nobody's Fool 2; Skilled Jockey 2,None,Breath Masks and Respirators; Heavy Blaster Pistol; Padded Armor; Utility Belt; Vibrosword,LoNH:123
Captain Harl Bess,Rival,Astrogation 3; Computers 1; Cool 2; Mechanics 2; Piloting [Planetary] 3; Piloting [Space] 4,Skilled Jockey 2,None,Datapad with schematics; Holdout Blaster; Repair Tools,OaA:21
Captain Hylo Sortuli,Rival,Cool 2; Warfare 3; Leadership 2; Negotiation 1; Piloting [Space] 2; Ranged [Light] 1,Adversary 1; Command 1,None,Datapad; Heavy Blaster Pistol,DitW:14
Captain Jostero,Rival,Coercion 3; Deception 3; Gunnery 2; Leadership 2; Perception 2; Piloting [Space] 3; Ranged [Light] 3,None,Pirate Leader,Comlink (handheld); Heavy Blaster Pistol; Padded Armor,SoF:143
Captain Rel Harsol,Nemesis,Charm 3; Coercion 3; Cool 4; Discipline 3; Lore 2; Leadership 5; Melee 3; Piloting [Space] 2; Ranged [Light] 3; Vigilance 3,Adversary 2; Inspiring Rhetoric [Improved]; Scathing Tirade [Improved],Animal Combatant; Wilderness Valor,Combat Knife; Comlink (handheld); Heavy Blaster Pistol; Padded Armor,BtR:63
Captain Shorwarr,Rival,Athletics 1; Brawl 1; Ranged [Heavy] 2; Ranged [Light] 1; Perception 1; Survival 2; Vigilance 2,Expert Tracker 1; Natural Hunter; Hunter's Quarry,Wookie Rage,Bola; Bowcaster; Ryyk Blade,BtR:94
Captain Shyndi Oglerk,Nemesis,Coercion 1; Cool 2; Deception 3; Education 2; Leadership 1; Melee 2; Negotiation 1; Piloting [Space] 1; Ranged [Light] 2; Skullduggery 2; Warfare 2,Adversary 1,None,Datapad; Heavy Blaster Pistol,DitW:8
Carn Truuvik,Nemesis,Charm 3; Computers 2; Cool 3; Deception 3; Underworld 2; Negotiation 2; Perception 1; Ranged [Light] 3; Skullduggery 2; Streetwise 2,Adversary 1; Convincing Demeanor 2,Skilled Cheater,Armored Clothing; Filed Blaster Pistol,SoF:120
Catrinna,Nemesis,Charm 3; Computers 1; Cool 2; Deception 2; Underworld 2; Melee 2; Negotiation 2; Perception 1; Ranged [Light] 2; Skullduggery 2; Streetwise 2; Vigilance 2,Adversary 1; Natural Charmer,None,Light Blaster Pistol; Vibroknife,SoF:117
Cautious Smuggler,Rival,Charm 3; Cool 2; Deception 2; Ranged [Light] 2; Piloting [Space] 2; Skullduggery 2; Streetwise 2,Force Rating 1; Intuitive Evasion 1; Skilled Jockey 2,Force Power Influence,Blaster Pistol,F-CRB:411
Cendiary Priest,Rival,Negotiation 36,Force Rating 3; Intuitive Improvements,Master Metalshaper,None,
CG/KDY AT-ED,Rival,Coordination 2; Perception 3; Ranged [Heavy] 1; Vigilance 3,Outdoorsman 2,Droid,"Fabritech ""Surveyor"" Mapping and Surveying Suite; Forward-mounted blaster",EtU:55
Chameleon Droid,Rival,Perception 2; Ranged [Heavy] 1; Stealth 2,Stalker 2,Droid,Blaster Carbine; Minelayer with 24 anti-personnel mines,NoP:106
Chandrilan Agriculturalist,Rival,Athletics 1; Mechanics 2; Negotiation 2; Resilience 3; Survival 2,None,None,Stun Rifle,SoR:18
Chandrilan Citizen,Minion,Core Worlds; Education; Negotiation; Perception,None,None,100 credits; Comlink (handheld); Datapad,SoR:18
Chandrilan Governor,Nemesis,Charm 4; Cool 3; Perception 4; Core Worlds 4; Education 4; Leadership 3; Ranged [Light] 3; Streetwise 2; Vigilance 3,Inspiring Rhetoric [Improved]; Kill with Kindness 2,Leader,Light Blaster Pistol,SoR:19
Chandrilan Navy Officer,Rival,Astrogation 2; Computers 2; Cool 2; Core Worlds 2; Leadership 3,Fire Control 1,None,Stun pistol,SoR:19
Chara Tull,Rival,Charm 3; Cool 3; Gunnery 1; Piloting [Planetary] 2,Master Driver,None,Light Blaster Pistol,JoY:45*
Chiss Mercenary,Nemesis,Coercion 2; Cool 1; Coordination 2; Discipline 3; Melee 3; Ranged [Heavy] 4; Resilience 3; Vigilance 4,Adversary 2; Lethal Blows 2; Quick Strike 2,Infravision,Blaster Rifle; Cortosis Sword; Heavy Battle Armor; Stimpack,F-CRB:418
"Clay ""Pops"" Merra",Rival,Computers 4; Mechanics 5; Negotiation 2,None,None,Datapad; Hand Scanner; Tool Kit,SoF:51
Clik,Rival,Astrogation 2; Brawl 1; Computers 2; Mechanics 4,Gearhead 1,None,Datapad with schematics; Holdout Blaster; Repair Tools,OaA:25
Colonel (General) Romar Kek,Nemesis,Discipline 3; Gunnery 4; Warfare 3; Leadership 3; Perception 3; Ranged [Heavy] 2; Ranged [Light] 3; Vigilance 2,Adversary 2; Command 2; Coordinated Assault 2,Tactical Direction,Blast Vest; Blaster Carbine; Light Blaster Pistol,SoR:94
Comm Operator,Rival,Charm 2; Coercion 1; Cool 1; Outer Rim 3,None,None,Comlink (handheld); Light Blaster Pistol,E-CRB:397; CotGAD:14
Commander Danel Qurno,Nemesis,Coercion 3; Cool 2; Discipline 2; Underworld 2; Warfare 2; Leadership 2; Perception 3; Ranged [Light] 3; Streetwise 2; Vigilance 3,Know Somebody 2; Nobody's Fool 1,None,Blast Vest; Blaster Pistol,OaA:19
Commander Freila,Nemesis,Astrogation 2; Cool 3; Discipline 2; Gunnery 3; Warfare 4; Leadership 2; Perception 3; Piloting [Space] 3; Ranged [Light] 2; Vigilance 2,Adversary 2; Natural Pilot,None,Blaster Pistol,SoR:43
Commander Treaska,Rival,Coercion 1; Gunnery 2; Piloting [Planetary] 3,Natural Driver,None,Blaster Pistol; Comlink (handheld),OaA:93
COMPNOR Agent,Rival,Coercion 3; Computers 2; Deception 3; Discipline 1; Core Worlds 2; Warfare 2,None,None,Disruptor Pistol; Military Comlink,A-CRB:416
Con Artist,Rival,Charm 2; Cool 2; Deception 3; Perception 3; Skullduggery 2,Convincing Demeanor 1; Nobody's Fool 1,None,Comm Jammer; Disguise Kit; Holdout Blaster,F-CRB:404
Consortium Starfighter Pilot,Rival,Astrogation 2; Computers 1; Discipline 2; Gunnery 2; Piloting [Space] 2; Ranged [Light] 1,Natural Pilot,None,Blaster Pistol; Crash Survival Kit; Flight suit and helmet,MPQ:82
CoreSec Investigator,Rival,Charm 2; Coercion 3; Cool 2; Melee 2; Underworld 3; Perception 3; Ranged [Light] 2; Streetwise 3; Vigilance 2,Adversary 1,None,Badge; Blaster Pistol; Comlink (handheld); CorSec Mk. IV armored vest; Datapad; Truncheon,SoF:21
Coresec Officer,Minion,Athletics; Brawl; Coercion; Melee; Perception; Ranged [Light]; Streetwise,None,None,CDEF Blaster Pistol; CorSec Mk. IV armored vest; Truncheon,SoF:20
Corporate Representative,Rival,Charm 2; Cool 2; Deception 3; Warfare 2; Negotiation 2,Know Somebody 2,None,Datapad; Expense voucher; Holdout Blaster,A-CRB:429
Corporate Sector Authority Security Captain,Rival,Coercion 1; Discipline 1; Leadership 1; Melee 2; Ranged [Heavy] 2; Ranged [Light] 1; Vigilance 1,Adversary 1,Riot Tactics,Riot Armor; Riot Gun; Truncheon,E-CRB:401; CotGAD:2
Corporate Sector Authority Security Police,Minion,Coercion; Melee; Ranged [Heavy],None,None,Riot Armor; Riot Gun; Truncheon,E-CRB:401; CotGAD:1
Corporate Sector Authority Viceprex,Nemesis,Charm 2; Coercion 4; Cool 2; Deception 3; Leadership 2; Negotiation 3; Education 3; Outer Rim 2,Adversary 1; Scathing Tirade [Improved]; Inspiring Rhetoric [Improved],None,Holdout Blaster; Personal Deflector Shield,E-CRB:402; CotGAD:3
Corrupt Bureaucrat,Rival,Charm 2; Coercion 1; Cool 2; Deception 3; Negotiation 4,Plausible Deniability 1; Nobody's Fool 2,None,Light Blaster Pistol,E-CRB:408; SaVAD:12
Corsec Boarding Officers,Rival,Cool 1; Discipline 2; Gunnery 1; Melee 2; Perception 3; Ranged [Light] 2; Resilience 2; Vigilance 2,Adversary 1,None,Corellian Arms CR-2 Heavy Blaster Pistol; Stun Baton,SoF:127
CorSec Tactical Response Team Member,Nemesis,Athletics 3; Coercion 3; Cool 3; Discipline 2; Melee 2; Perception 3; Piloting [Planetary] 2; Piloting [Space] 2; Ranged [Heavy] 2; Ranged [Light] 2; Streetwise 3; Stealth 2; Vigilance 4,Adversary 2; Defensive Driving 1; Natural Pilot,None,Blaster Carbine; Heavy Blaster Pistol; Reinforced Flight Suit; Vibroknife,SoF:21
Corte Voss,Nemesis,Astrogation 2; Brawl 2; Cool 3; Charm 3; Negotiation 2; Piloting [Space] 3; Ranged [Light] 3; Streetwise 2,Adversary 1; Quick Draw; Rapid Reaction 2; Soft Spot,None,Datapad; Heavy Blaster Pistol; Heavy Clothing,LoNH:131*
Corte's Smuggler Crew,Minion,Athletics; Brawl; Cool; Gunnery; Ranged [Light],None,None,Blaster Pistol; Heavy Clothing,LoNH:131
Cratala,Nemesis,Charm 2; Coercion 4; Cool 2; Discipline 3; Education 4; Xenology 4; Mechanics 3; Medicine 5; Negotiation 3; Perception 2; Ranged [Light] 2; Vigilance 2,Anatomy Lessons; Master Doctor; Surgeon 3,Cybernetic Microscopic Vision; Cybernetics Expert,Blaster Pistol; Datapad; Medpac,BtR:63
"Crew Chief Jerion ""Jolt"" Terolt",Rival,Astrogation 1; Gunnery 2; Computers 3; Mechanics 4; Piloting [Planetary] 2; Piloting [Space] 2; Ranged [Light] 2,Gearhead 1,None,Comlink (handheld); Datapad; Light Blaster Pistol; Tool Kit,SoR:86
CSA Intrusion Specialist,Rival,Computers 3; Cool 2; Skullduggery 2,Bypass Security 1; Force Rating 1,Computer Affinity,Holdout Blaster; Slicer Gear,F-CRB:411
CT-4 Medical Droid,Rival,Computers 1; Discipline 1; Xenology 3; Medicine 3; Perception 2,Bacta Specialist 2; Surgeon 1,Droid,built-in diagnostic and surgical tools; Synthflesh Applicator,SoR:112
Customs Inspector,Rival,Astrogation 1; Perception 3; Vigilance 2,None,None,Hand Scanner; Light Blaster Pistol,E-CRB:397; CotGAD:15
Cyborg Administrator,Rival,Computers 3; Perception 1,None,Enhanced Senses,Comlink (handheld); Datapad with direct access port; Light Blaster Pistol,A-CRB:431
Cybot Galactica PK-Series Worker Droids,Minion,Mechanics; Melee,None,Droid,Built-in Repair Tools; Mining Beam Drill,GMK:9*
CZ-Series Communications/Business Droid,Rival,Education 3; Core Worlds 2; Negotiation 4; Perception 1,None,Droid; Etiquette and Protocol,Comlink (long range); Inbuilt Datapad,DA:55
Dagoyan Master,Nemesis,Coercion 3; Cool 2; Discipline 3; Education 3; Leadership 2; Perception 2; Vigilance 3,Adversary 2; Force Rating 3,Force Power Bind; Force Power Sense,Robes; Walking Stick,NoP:47
Dalan Oberos,Nemesis,Discipline 3; Melee 3; Ranged [Light] 3; Ranged [Heavy] 3; Vigilance 2,Adversary 2; Expert Tracker 1; Quick Draw,Praticed Resistance,Cortosis Gauntlets; Cortosis-laced Battle Armor; Custom Slugthrower Carbine; Jet Pack; Thermal Detonator,CotG:47
Damaged Basilisk,Nemesis,Melee 2; Vigilance 3,Adversary 1; Crippling Blow; Knockdown,Droid; Silhouette 2,Basilisk Claws,F-CRB:438
Dandy Gambler,Rival,Charm 2; Cool 3; Deception 2; Perception 3; Skullduggery 3; Streetwise 2,Force Rating 1; Second Chances 2,All the Luck in the Galaxy,Holdout Blaster,F-CRB:412
Daro Blunt,Rival,Coercion 1; Cool 1; Ranged [Light] 3,None,Two-Weapon Combat,Heavy Clothing; Two modified quick draw blaster pistols,E-CRB:425*
Deck Office Lt. Nela Arseli,Rival,Discipline 3; Warfare 3; Leadership 1; Ranged [Light] 2; Perception 2; Vigilance 2,None,Overwhelming Fire; Tactical Direction,Adverse Environment Gear; Comlink (handheld); Datapad; Light Blaster Pistol,SoR:73
